ALLCAPSW,# of all-caps words,57892,30317
USERHOST,# of string in user/hosts form,441,1892
LOONGWORDS,"# of non-address ""very long words""",14024,244
NUMBER,# of numbers,12736,13783
SHORTWORDS,"# of ""short words""",176988,59523
ALPHANUM,# of alphanumerical words,27687,5789
TITLEW,# of words with only the first letter capital,69391,60013
MAILADDR,# of mail addresses,3311,2165
LINKADDR,# of links,984,902
WASTE,# of non-valid words,384640,317136
LOWERCASEW,# of all lowercase words,313059,202402
